first_name,last_name
Cliff,Alexander
Justin,Anderson
Brandon,Ashley
Devin,Booker
Willie,Cauley-Stein
Sam,Dekker
Michael,Frazier II
Olivier,Hanlan
Montrezl,Harrell
Aaron,Harrison
Andrew,Harrison
Tyler,Harvey
Jerome,Hill
Rondae,Hollis-Jefferson
R.J.,Hunter
Vince,Hunter
Charles,Jackson
Dakari,Johnson
Stanley,Johnson
Tyus,Jones
Trevor,Lacey
Kevon,Looney
Trey,Lyles
Jarell,Martin
Chris,McCullough
Jordan,Mickey
Jahlil,Okafor
Kelly,Oubre
Ashton,Pankey
Cameron,Payne
Terran,Petteway
Walter,Pitchford
Bobby,Portis
Michael,Qualls
Terry,Rozier
D'Angelo,Russell
Satnam,Singh
Jherrod,Stiggers
Deonta,Stocks
Aaron,Thomas
J.P.,Tokoto
Karl-Anthony,Towns
Myles,Turner
Robert,Upshaw
Rashad,Vaughn
Chris,Walker
Justise,Winslow
Christian,Wood
