first_name,last_name
Shaqquan,Aaron 
Jaylen,Adams 
Edrice,Adebayo 
Deng,Adel 
Jashaun,Agosto 
Bashir,Ahmed 
Rawle,Alkins 
Jarrett,Allen 
Mark,Alstork 
Ike,Anigbogu 
OG,Anunoby 
Dwayne,Bacon 
Lonzo,Ball 
Jaylen,Barford 
Jordan,Bell 
Trae,Bell-Haynes 
Joel,Berry II 
James,Blackmon Jr. 
Antonio,Blakeney 
Trevon,Bluiett 
Bennie,Boatwright 
Jacobi,Boykins 
Tony,Bradley 
Isaiah,Briscoe 
Dillon,Brooks 
Thomas,Bryant 
Rodney,Bullock 
Jevon,Carter 
Clandell,Cetoute 
Joseph,Chartouny 
Donte’,Clark 
Chris,Clemons 
David,Collette 
John,Collins 
Zach,Collins 
Chance,Comanche 
Angel,Delgado 
Hamidou,Diallo 
Tyler,Dorsey 
PJ,Dozier 
Vince,Edwards 
John,Egbunu 
Jon,Elmore 
Obi,Enechionyia 
Drew,Eubanks 
Jawun,Evans 
Tacko,Fall 
Tony,Farmer 
De’Aaron,Fox 
Markelle,Fultz 
Harry,Giles 
Brandon,Goodwin 
Donte,Grantham 
Isaac,Haas 
Aaron,Holiday 
Isaac,Humphries 
Chandler,Hutchison 
Jonathan,Isaac 
Frank,Jackson 
Josh,Jackson 
Justin,Jackson 
Justin,Jackson 
Alize,Johnson 
B.J.,Johnson 
Darin,Johnson 
Jaylen,Johnson 
Robert,Johnson 
Andrew,Jones 
Kerem,Kanter 
Ted,Kapita 
Marcus,Keene 
Luke,Kennard 
Braxton,Key 
George,King 
Kyle,Kuzma 
Khadeem,Lattin 
TJ,Leaf  
William,Lee 
Zach,Lofton 
Tyler,Lydon 
Daryl,Macon 
Marin,Maric 
Lauri,Markkanen 
Yante,Maten 
Markis,McDuffie 
MiKyle,McIntosh 
Eric,Mika 
Donovan,Mitchell 
Malik,Monk 
Matthew,Morgan 
Shaquille,Morris 
Johnathan,Motley  
Svi,Mykhailiuk 
Divine,Myles 
Derick,Newton 
Austin,Nichols 
Semi,Ojeleye 
Cameron,Oliver 
Randy,Onwuasor 
Justin,Patton  
L.J.,Peak 
Theo,Pinson 
Ivan,Rabb 
Xavier,Rathan-Mayes 
Devin,Robinson 
Josh,Robinson 
Martavius,Robinson 
Maverick,Rowan 
Corey,Sanders 
Victor,Sanders 
Jaaron,Simmons 
Kobi,Simmons 
Fred,Sims Jr. 
Dennis,Smith Jr. 
Zach,Smith 
Kamau,Stokes 
Edmond,Sumner 
Caleb,Swanigan 
Jayson,Tatum 
Matt,Taylor 
James,Thompson IV 
Stephen,Thompson Jr. 
Trevor,Thompson 
Melo,Trimble 
Craig,Victor II 
Moritz,Wagner 
Tevonn,Walker 
Antone,Warren 
Thomas,Welsh 
Thomas,Wilder 
Cecil,Williams 
Johnathan,Williams 
Kam,Williams 
Nigel,Williams-Goss 
Christian,Wilson 
D.J.,Wilson 
Omer,Yurtseven 
