0,1
416,0
372,0
717,1
1090,0
1108,0
523,0
920,1
1374,1
783,1
244,1
946,1
797,1
1214,1
1311,1
528,1
1191,1
55,1
421,0
786,1
110,0
1115,0
574,0
901,1
583,1
297,1
539,1
1364,1
600,1
287,1
1326,1
627,1
127,0
463,0
480,0
171,1
760,1
494,0
210,1
970,1
141,1
1192,1
923,1
882,1
681,0
200,1
959,1
364,0
412,0
11,1
148,1
431,0
283,0
299,1
562,0
292,1
1145,0
910,1
433,0
515,0
482,0
332,1
678,0
843,1
1365,1
985,1
136,0
904,1
1033,1
622,1
674,0
533,1
571,0
159,1
1196,1
1106,0
1011,0
620,1
1199,1
1205,1
454,0
711,1
706,1
907,1
975,1
916,1
97,1
436,0
368,0
887,1
1288,0
157,1
744,1
554,0
845,1
1334,1
1076,0
1146,0
1193,1
550,0
378,0
391,0
309,1
1180,1
543,1
1143,0
737,1
1316,1
942,1
353,1
125,0
179,1
288,1
1331,1
1188,1
295,1
414,0
899,1
1341,1
1102,0
1012,0
89,1
954,1
1081,0
1000,1
1279,0
803,1
598,1
1266,0
987,1
291,1
286,1
716,1
1309,1
507,0
986,1
267,0
328,1
349,1
483,0
60,1
406,0
465,0
1303,0
905,1
918,1
858,1
911,1
1315,1
900,1
724,1
334,1
650,1
1221,1
618,1
890,1
1189,1
944,1
1281,0
1186,1
1236,0
399,0
1353,1
549,0
329,1
101,1
319,1
1067,1
84,1
130,0
813,1
13,1
851,1
172,1
623,1
1267,0
261,0
1377,1
715,1
712,1
1215,1
732,1
333,1
356,1
139,0
382,0
293,1
1370,1
1150,0
142,1
719,1
667,0
585,1
140,0
1211,1
1068,0
225,1
1373,1
275,0
324,1
495,0
410,0
326,1
1339,1
300,1
753,1
491,0
1378,1
1282,0
1241,0
950,1
808,1
1247,0
870,1
635,1
486,0
988,1
529,1
1064,1
969,1
629,1
4,1
1209,1
775,1
468,0
322,1
6,1
1259,0
1263,0
1213,1
644,1
40,1
31,1
243,1
1197,1
1001,1
137,0
807,1
665,0
580,1
1325,1
1257,0
1010,0
1302,0
1348,1
377,0
315,1
443,0
320,1
889,1
679,0
425,0
949,1
662,0
1381,1
893,1
228,1
611,1
934,1
1201,1
1283,0
67,1
894,1
844,1
212,1
1042,1
671,0
537,1
1036,1
568,0
995,1
1258,0
1254,0
781,1
567,0
1243,0
891,1
1290,0
850,1
274,0
619,1
363,0
3,1
7,1
312,1
1051,1
800,1
1363,1
216,1
1139,0
28,1
1092,0
738,1
1376,1
1230,1
705,1
723,1
257,0
26,1
337,1
573,0
48,1
107,1
350,1
56,1
938,1
214,1
121,0
1028,0
632,1
73,1
669,0
909,1
46,1
1168,1
524,0
740,1
853,1
680,0
534,1
466,0
994,1
1182,1
666,0
61,1
93,1
604,1
195,1
281,0
360,0
520,0
1141,0
772,1
183,1
111,0
939,1
880,1
205,1
701,1
53,1
546,1
847,1
1351,1
728,1
1059,1
184,1
138,0
829,1
81,1
1122,0
106,1
542,1
1032,1
481,0
166,1
249,0
308,1
1005,0
1024,0
335,1
98,1
1329,1
804,1
103,1
1310,1
902,1
1234,0
1354,1
1251,0
303,1
1167,1
1133,0
389,0
236,1
1152,0
935,1
306,1
1016,0
1121,0
250,0
998,1
978,1
72,1
95,1
721,1
34,1
1025,0
449,0
446,0
1058,1
768,1
1249,0
78,1
85,1
1223,1
83,1
458,0
1337,1
1078,0
437,0
645,1
771,1
1104,0
405,0
1206,1
1207,1
846,1
105,1
610,1
708,1
794,1
63,1
282,0
863,1
239,1
224,1
146,1
1289,0
374,0
119,0
1044,1
251,0
1330,1
10,1
450,0
256,0
594,1
390,0
818,1
1235,0
558,0
461,0
1273,0
145,1
502,0
1006,0
1305,0
540,1
178,1
1332,1
698,1
966,1
915,1
747,1
766,1
1375,1
8,1
1041,1
668,0
